Symbol,Series,ClosePrice,TodayVolume,ValueTraded,2026-07-28
DENTA,EQ,335.20,131020,43266562.25
DEVX,EQ,34.45,61681,2118446.56
DEVIT,EQ,27.77,786354,22719127.19
DEVYANI,EQ,113.72,799143,91687586.21
DBOL,EQ,98.75,93467,9323041.81
DHAMPURSUG,EQ,141.33,78324,11098138.75
DHANBANK,EQ,34.13,1926469,66580915.54
DHANUKA,EQ,999.80,23456,23419656.90
DHARMAJ,EQ,258.25,13841,3577234.55
DHUNINV,EQ,862.80,288,249337.50
DTIL,EQ,128.58,7440,964719.99
DVL,EQ,238.18,11467,2764560.07
DIAMINESQ,EQ,240.67,3989,968322.93
DIACABS,EQ,321.39,8881116,2784360231.86
DICIND,EQ,498.05,1283,641833.30
DIFFNKG,EQ,395.35,48385,19205984.65
DGCONTENT,EQ,24.62,5216,128365.62
DIGIDRIVE,EQ,17.91,9111,162458.98
DIGITIDE,EQ,97.44,469742,45616393.14
DIGJAMLMTD,EQ,42.79,4647,198253.58
DNAMEDIA,EQ,2.84,64038,181902.53
DBL,EQ,437.55,965968,423126242.35
DISAQ,EQ,12296.00,508,6178238.00
DCAL,EQ,182.07,81220,14866126.56
DIVGIITTS,EQ,959.10,73891,71590527.90
DIVISLAB,EQ,7425.00,410385,3041813246.50
DIXON,EQ,13903.00,177372,2450431984.00
DJML,EQ,117.14,418570,48907958.55
DLF,EQ,663.05,6018410,3976052649.10
DMCC,EQ,266.70,16234,4364621.55
DODLA,EQ,1043.20,25724,26749913.60
DOLATALGO,EQ,68.49,57314,3928452.37
DOLLAR,EQ,253.80,86730,22016955.60
DOLPHIN,EQ,374.75,3798,1426653.55
DOMS,EQ,2273.70,22510,51317877.10
DONEAR,EQ,84.34,7075,599462.91
AGARWALEYE,EQ,493.10,101720,49799796.25
DRAGARWQ,EQ,5052.00,485,2437890.00
LALPATHLAB,EQ,1805.20,379442,686524408.90
DRREDDY,EQ,1135.60,2157306,2453674273.80
DRCSYSTEMS,EQ,13.29,30561,412582.08
DREAMFOLKS,EQ,66.95,30359,2037603.96
DREDGECORP,EQ,1064.40,98093,104306819.20
KEEPLEARN,EQ,1.91,31731,59892.46
LIQUIDETF,EQ,1000.00,56159,56159002.62
BANK10ADD,EQ,16.75,29098,489572.15
BANKADD,EQ,58.16,22394,1302663.10
GOLDADD,EQ,137.31,117665,16178132.03
ITADD,EQ,32.21,164581,5314334.66
